day	hour	value
1	0	1.489220961
1	1	1.332583309
1	2	1.214084918
1	3	1.195310036
1	4	1.745052791
1	5	2.198970072
1	6	1.498083836
1	7	1.413262489
1	8	1.459655039
1	9	1.43863938
1	10	1.35943436
1	11	1.311195275
1	12	1.262760105
1	13	1.29707713
1	14	1.310332721
1	15	1.324531675
1	16	1.402167924
1	17	1.375338679
1	18	1.368955046
1	19	1.364795566
1	20	1.456347815
1	21	1.539805397
1	22	1.554803116
1	23	1.589452681
2	0	1.5100574
2	1	1.383373427
2	2	1.255664551
2	3	1.218733067
2	4	1.539592811
2	5	1.861818738
2	6	1.358772439
2	7	1.341791246
2	8	1.414979715
2	9	1.420615653
2	10	1.344615204
2	11	1.314219656
2	12	1.295092369
2	13	1.322695381
2	14	1.343411845
2	15	1.351041109
2	16	1.433484833
2	17	1.398075718
2	18	1.383261104
2	19	1.389518138
2	20	1.456415345
2	21	1.534194103
2	22	1.570177267
2	23	1.581689737
3	0	1.543126106
3	1	1.412103675
3	2	1.299065249
3	3	1.270207212
3	4	1.602429832
3	5	1.942222799
3	6	1.401074683
3	7	1.370063422
3	8	1.455042885
3	9	1.463666411
3	10	1.392056156
3	11	1.368200386
3	12	1.36177775
3	13	1.397054876
3	14	1.428682523
3	15	1.43888006
3	16	1.505611412
3	17	1.457032914
3	18	1.427322261
3	19	1.408771867
3	20	1.466229173
3	21	1.541148679
3	22	1.570456675
3	23	1.588161567
4	0	1.545472822
4	1	1.435050685
4	2	1.326243999
4	3	1.279490237
4	4	1.622325017
4	5	2.01028201
4	6	1.425411862
4	7	1.364142923
4	8	1.448011724
4	9	1.455169632
4	10	1.372819229
4	11	1.362340481
4	12	1.349685751
4	13	1.40010148
4	14	1.44077486
4	15	1.448365787
4	16	1.526001039
4	17	1.476590621
4	18	1.437559144
4	19	1.420325838
4	20	1.46894892
4	21	1.534125731
4	22	1.579080024
4	23	1.597160025
5	0	1.560391251
5	1	1.464117407
5	2	1.358023775
5	3	1.305561229
5	4	1.590268633
5	5	2.001522581
5	6	1.4968512
5	7	1.377999175
5	8	1.443368909
5	9	1.423640242
5	10	1.333151629
5	11	1.322450489
5	12	1.328488456
5	13	1.356400082
5	14	1.382106268
5	15	1.401232275
5	16	1.476802947
5	17	1.439090422
5	18	1.388867855
5	19	1.347715152
5	20	1.359781975
5	21	1.351924249
5	22	1.359935505
5	23	1.403299481
6	0	1.425838298
6	1	1.408608389
6	2	1.391932603
6	3	1.382726133
6	4	1.349833719
6	5	1.655656442
6	6	1.679178558
6	7	1.462599222
6	8	1.267728565
6	9	1.115810411
6	10	1.091094283
6	11	1.111444479
6	12	1.116616058
6	13	1.129567453
6	14	1.145275963
6	15	1.152382295
6	16	1.149688768
6	17	1.146279239
6	18	1.147661718
6	19	1.154306996
6	20	1.220395953
6	21	1.196923461
6	22	1.23286926
6	23	1.289194142
7	0	1.333316348
7	1	1.362571979
7	2	1.396810615
7	3	1.398252572
7	4	1.312461381
7	5	1.489679062
7	6	1.64355071
7	7	1.488181675
7	8	1.290301962
7	9	1.135268522
7	10	1.12139671
7	11	1.164732462
7	12	1.211714343
7	13	1.272038947
7	14	1.319715311
7	15	1.390681796
7	16	1.439465266
7	17	1.394185291
7	18	1.348022296
7	19	1.318580655
7	20	1.379063887
7	21	1.427734536
7	22	1.48645031
7	23	1.522280654
